doc_id,document_title,source,document_family,act_type,article_label,article_code,requirement_no,req_type,requirement_text,status,confidence,citation_ref,citation_snippet
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 2,2,1,OBLIGATION,Les déchets dont la liste est fixée.,TO_VALIDATE,0.8100000023841858,Art. 2 (p.1-1),Les déchets dont la liste est fixée.
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 2,2,2,OBLIGATION,Toutes les opérations visant l'élimination définitive des déchets doivent être réalisées conformément à des conditions assurant la prévention des risques pour la santé de l'homme et sans faire usage de méthodes et de moyens pouvant causer un dommage à l'environnement.,TO_VALIDATE,0.75,Art. 2 (p.1-1),Toutes les opérations visant l'élimination définitive des déchets doivent être réalisées conformément à des conditions assurant la prévention des risques pour la santé de l'homme et sans faire usage de méthodes et de moyens pouvant causer un dommage à l'environnement.
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 4,4,3,OBLIGATION,"Toute personne dont l'activité produit des déchets ou qui détient des déchets dans des conditions susceptibles d'avoir des effets négatifs sur le sol, la flore ou la faune, de causer la dégradation des sites et des paysages ou de polluer l'air ou l'eau ou d'engendrer des nuisances sonores ou des odeurs et d'une manière générale, de porter atteinte à la santé publique ou à l'environnement est tenue de les éliminer conformément aux dispositions de la présente loi et dans des conditions permettant d'éviter les effets sus-indiqués.",TO_VALIDATE,0.6499999761581421,Art. 4 (p.1-1),"Toute personne dont l'activité produit des déchets ou qui détient des déchets dans des conditions susceptibles d'avoir des effets négatifs sur le sol , la flore ou la faune, de causer la dégradation des sites et des paysages ou de polluer l'air ou l'eau ou d'engendrer des nuisances sonores ou des odeurs et d'une manière générale"
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 5,5,4,CONDITION,"En cas de mise au rebut, dépôt ou rejet dans le milieu naturel sans respecter les normes en vigueur ou en cas de traitement des déchets contraire aux conditions fixées par la loi et ses textes d'application.",TO_VALIDATE,0.8999999761581421,Art. 5 (p.1-1),"En cas de mise au rebut de déchets, de leur dépôt ou de leur rejet dans le milieu naturel sans respecter les normes en vigueur et en cas de traitement des déchets d'une manière contraire aux conditions fixées par la présente loi et les textes pris pour son application"
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 5,5,5,CONDITION,"Les autorités compétentes se chargent de l'élimination des déchets polluants sans mise en demeure et sans délai, dans le cas où la pollution présente un danger nécessitant l'intervention urgente ainsi que dans les cas où le contrevenant est inconnu.",TO_VALIDATE,0.8500000238418579,Art. 5 (p.1-1),"Dans le cas où la pollution présente un danger nécessitant l'intervention urgente ainsi que dans les cas où le contrevenant est inconnu, les autorités compétentes se chargent de l'élimination des déchets polluants sans mise en demeure et sans délai."
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 6,6,6,RESPONSABILITE,Toute personne répond de la responsabilité du fait du dommage causé à autrui par des rejets de déchets qui étaient en sa possession ou qui proviennent des activités qu'elle entreprend ou des produits qu'elle fabrique.,TO_VALIDATE,0.75,Art. 6 (p.1-1),Les dispositions de la présente loi n'exonérent pas de la responsabilité qui incombe à toute personne du fait du dommage causé à autrui par des rejets de déchets qui étaient en sa possession ou qui proviennent des activités qu'elle entreprend ou des produits qu'elle fabrique.
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 7,7,7,INTERDICTION,"L'incinération des déchets en plein air est interdite, à l'exception des déchets de végétaux.",DRAFT,0.8999999761581421,Art. 7 (p.1-1),"L'incinération des déchets en plein air et leur utilisation comme combustible sont interdites, à l'exception des déchets de végétaux."
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 7,7,8,INTERDICTION,Les opérations d'élimination par incinération doivent avoir lieu dans des établissements autorisés.,DRAFT,0.8999999761581421,Art. 7 (p.1-1),Les opérations d'élimination par incinération ne doivent avoir lieu que dans des établissements autorisés conformément aux dispositions de la présente loi.
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 8,8,9,CONDITION,"Toute personne dont l'activité produit des déchets ou qui détient des déchets dans des conditions susceptibles d'avoir des effets négatifs sur le sol, la flore ou la faune, de causer la dégradation des sites et des paysages, de polluer l'air ou l'eau, d'engendrer des nuisances sonores ou des odeurs, ou de porter atteinte à la santé publique ou à l'environnement est soumise à ces conditions.",TO_VALIDATE,0.6499999761581421,Art. 8 (p.1-1),"Toute personne dont l'activité produit des déchets ou qui détient des déchets dans des conditions susceptibles d'avoir des effets négatifs sur le sol , la flore ou la faune, de causer la dégradation des sites et des paysages ou de polluer l'air ou l'eau ou d'engendrer des nuisances sonores ou des odeurs et d'une manière générale, de porter atteinte à la santé publique ou à l'environnement"
a081cb3c-d614-4a26-856b-bf3c606c7909,Loi n° 96-41,upload_ui,REGLEMENTAIRE,LOI,Art. 8,8,10,INTERDICTION,Il est interdit d'incinérer les déchets en plein air et de les utiliser comme combustible.,TO_VALIDATE,0.8399999737739563,Art. 8 (p.1-1),"L'incinération des déchets en plein air et leur utilisation comme combustible sont interdites, à l'exception des déchets de végétaux."
